	NR	NRName	CID	EC50
7847	NR1C3	PPAR_gamma	8212	0.006
8017	NR1C3	PPAR_gamma	8382	0.006
8062	NR1C3	PPAR_gamma	8427	0.006
8267	NR1C3	PPAR_gamma	9609	0.006
8830	NR2B1	RXR_alpha	3405	0.006
8922	NR2B1	RXR_alpha	5968	0.006
8939	NR2B1	RXR_alpha	5985	0.006
9380	NR2B3	RXR_gamma	10160	0.006
9535	NR2B2	RXR_beta	4147	0.006
9605	NR2B2	RXR_beta	4217	0.006
3540	NR1H4	FXR	5735	0.0063
3543	NR1H4	FXR	5738	0.0065
3463	NR1C1	PPAR_alpha	11314	0.007
4921	NR1C2	PPAR_delta	2588	0.007
5157	NR1C2	PPAR_delta	6561	0.007
486	NR1H2	LXR_beta	8643	0.007
1976	NR1C1	PPAR_alpha	7444	0.007
1978	NR1C1	PPAR_alpha	7446	0.007
2174	NR1C1	PPAR_alpha	7642	0.007
2183	NR1C1	PPAR_alpha	7651	0.007
2427	NR1C1	PPAR_alpha	9019	0.007
4402	NR1C2	PPAR_delta	1724	0.007
4870	NR1C2	PPAR_delta	2537	0.007
4898	NR1C2	PPAR_delta	2565	0.007
4930	NR1C2	PPAR_delta	2597	0.007
4936	NR1C2	PPAR_delta	2603	0.007
4945	NR1C2	PPAR_delta	2612	0.007
5017	NR1C2	PPAR_delta	2684	0.007
5019	NR1C2	PPAR_delta	2686	0.007
5030	NR1C2	PPAR_delta	2697	0.007
5050	NR1C2	PPAR_delta	6454	0.007
5439	NR1C2	PPAR_delta	6843	0.007
5529	NR1C2	PPAR_delta	6933	0.007
6334	NR1C3	PPAR_gamma	3062	0.007
6398	NR1C3	PPAR_gamma	3126	0.007
6579	NR1C3	PPAR_gamma	4376	0.007
6587	NR1C3	PPAR_gamma	4384	0.007
6595	NR1C3	PPAR_gamma	4392	0.007
7316	NR1C3	PPAR_gamma	7030	0.007
7714	NR1C3	PPAR_gamma	8079	0.007
8108	NR1C3	PPAR_gamma	8473	0.007
8247	NR1C3	PPAR_gamma	9589	0.007
8254	NR1C3	PPAR_gamma	9596	0.007
8261	NR1C3	PPAR_gamma	9603	0.007
9141	NR2B1	RXR_alpha	6187	0.007
9194	NR2B3	RXR_gamma	4248	0.007
9203	NR2B3	RXR_gamma	4257	0.007
9297	NR2B3	RXR_gamma	10077	0.007
9385	NR2B3	RXR_gamma	10165	0.007
9591	NR2B2	RXR_beta	4203	0.007
9169	NR2B1	RXR_alpha	6215	0.0072
3438	NR1C1	PPAR_alpha	11289	0.008
3448	NR1C1	PPAR_alpha	11299	0.008
4891	NR1C2	PPAR_delta	2558	0.008
6022	NR1C3	PPAR_gamma	2750	0.008
6293	NR1C3	PPAR_gamma	3021	0.008
866	NR1C1	PPAR_alpha	3542	0.008
967	NR1C1	PPAR_alpha	3643	0.008
1318	NR1C1	PPAR_alpha	3994	0.008
1322	NR1C1	PPAR_alpha	3998	0.008
1400	NR1C1	PPAR_alpha	4955	0.008
1741	NR1C1	PPAR_alpha	5296	0.008
2077	NR1C1	PPAR_alpha	7545	0.008
2177	NR1C1	PPAR_alpha	7645	0.008
2402	NR1C1	PPAR_alpha	8994	0.008
2412	NR1C1	PPAR_alpha	9004	0.008
2992	NR1C1	PPAR_alpha	10843	0.008
3285	NR1C1	PPAR_alpha	11136	0.008
4403	NR1C2	PPAR_delta	1725	0.008
5179	NR1C2	PPAR_delta	6583	0.008
6129	NR1C3	PPAR_gamma	2857	0.008
6133	NR1C3	PPAR_gamma	2861	0.008
6333	NR1C3	PPAR_gamma	3061	0.008
6337	NR1C3	PPAR_gamma	3065	0.008
7046	NR1C3	PPAR_gamma	4843	0.008
7321	NR1C3	PPAR_gamma	7035	0.008
7326	NR1C3	PPAR_gamma	7040	0.008
7328	NR1C3	PPAR_gamma	7042	0.008
7685	NR1C3	PPAR_gamma	8050	0.008
8117	NR1C3	PPAR_gamma	8482	0.008
9157	NR2B1	RXR_alpha	6203	0.008
9280	NR2B3	RXR_gamma	10060	0.008
9525	NR2B2	RXR_beta	4137	0.008
9583	NR2B2	RXR_beta	4195	0.008
3546	NR1H4	FXR	5741	0.0085
3439	NR1C1	PPAR_alpha	11290	0.009
3386	NR1C1	PPAR_alpha	11237	0.009
3474	NR1C1	PPAR_alpha	11325	0.009
3397	NR1C1	PPAR_alpha	11248	0.009
4918	NR1C2	PPAR_delta	2585	0.009
2130	NR1C1	PPAR_alpha	7598	0.009
853	NR1C1	PPAR_alpha	3529	0.009
1398	NR1C1	PPAR_alpha	4953	0.009
1401	NR1C1	PPAR_alpha	4956	0.009
1737	NR1C1	PPAR_alpha	5292	0.009
1844	NR1C1	PPAR_alpha	5399	0.009
1855	NR1C1	PPAR_alpha	5410	0.009
2403	NR1C1	PPAR_alpha	8995	0.009
2438	NR1C1	PPAR_alpha	9030	0.009
2799	NR1C1	PPAR_alpha	9391	0.009
2990	NR1C1	PPAR_alpha	10841	0.009
3281	NR1C1	PPAR_alpha	11132	0.009
4418	NR1C2	PPAR_delta	1740	0.009
4616	NR1C2	PPAR_delta	2283	0.009
4929	NR1C2	PPAR_delta	2596	0.009
4946	NR1C2	PPAR_delta	2613	0.009
5180	NR1C2	PPAR_delta	6584	0.009
5530	NR1C2	PPAR_delta	6934	0.009
6024	NR1C3	PPAR_gamma	2752	0.009
6230	NR1C3	PPAR_gamma	2958	0.009
6399	NR1C3	PPAR_gamma	3127	0.009
7325	NR1C3	PPAR_gamma	7039	0.009
7327	NR1C3	PPAR_gamma	7041	0.009
7719	NR1C3	PPAR_gamma	8084	0.009
8243	NR1C3	PPAR_gamma	9585	0.009
8290	NR1C3	PPAR_gamma	9632	0.009
9199	NR2B3	RXR_gamma	4253	0.009
9296	NR2B3	RXR_gamma	10076	0.009
9383	NR2B3	RXR_gamma	10163	0.009
9452	NR2B2	RXR_beta	4064	0.009
9526	NR2B2	RXR_beta	4138	0.009
9536	NR2B2	RXR_beta	4148	0.009
9601	NR2B2	RXR_beta	4213	0.0093
3016	NR1C1	PPAR_alpha	10867	0.01
3025	NR1C1	PPAR_alpha	10876	0.01
3108	NR1C1	PPAR_alpha	10959	0.01
3440	NR1C1	PPAR_alpha	11291	0.01
3332	NR1C1	PPAR_alpha	11183	0.01
4618	NR1C2	PPAR_delta	2285	0.01
7555	NR1C3	PPAR_gamma	7269	0.01
689	NR1H2	LXR_beta	8846	0.01
829	NR1C1	PPAR_alpha	3505	0.01
834	NR1C1	PPAR_alpha	3510	0.01
1007	NR1C1	PPAR_alpha	3683	0.01
1324	NR1C1	PPAR_alpha	4000	0.01
1441	NR1C1	PPAR_alpha	4996	0.01
1453	NR1C1	PPAR_alpha	5008	0.01
1554	NR1C1	PPAR_alpha	5109	0.01
1561	NR1C1	PPAR_alpha	5116	0.01
1789	NR1C1	PPAR_alpha	5344	0.01
